Word,Freq,Rank
redresse,6,447
Must,6,448
long,6,449
Lucil,6,450
neere,6,451
shake,6,452
lou,6,453
cut,6,454
ore,5,455
Madam,5,456
burne,5,457
Yes,5,458
wounds,5,459
seeme,5,460
Heart,5,461
Heauens,5,462
honour,5,463
hide,5,464
right,5,465
voyce,5,466
read,5,467
old,5,468
peace,5,469
Into,5,470
Cai,5,471
aliue,5,472
Tyber,5,473
pitty,5,474
Flauius,5,475
Blood,5,476
Calp,5,477
Tit,5,478
sicknesse,5,479
through,5,480
Instrument,5,481
Tell,5,482
Pulpit,5,483
remember,5,484
eye,5,485
Fly,5,486
Titin,5,487
fit,5,488
thrice,5,489
suite,5,490
blame,5,491
ere,5,492
Heauen,5,493
base,5,494
Antonio,5,495
offended,5,496
Fla,5,497
brought,5,498
those,5,499
Enemies,5,500
Souldier,5,501
times,5,502
Marcus,5,503
note,5,504
Some,5,505
look,5,506
smile,5,507
presse,5,508
she,5,509
Actus,5,510
passe,5,511
speakes,5,512
light,5,513
power,5,514
little,5,515
seuerall,5,516
worth,5,517
since,5,518
Statue,5,519
angry,5,520
poore,5,521
Well,5,522
Tongue,5,523
course,5,524
Vnto,5,525
Clitus,5,526
fight,5,527
fetch,5,528
deed,5,529
resolu,5,530
Market,5,531
Mur,5,532
perceiue,5,533
friend,5,534
side,5,535
Dagger,5,536
reason,5,537
Neuer,5,538
Flatterers,5,539
welcome,5,540
Bid,5,541
another,5,542
spoke,5,543
worse,4,544
knowne,4,545
Cynna,4,546
knaue,4,547
Bond,4,548
glad,4,549
faults,4,550
Mettle,4,551
Wife,4,552
Pardon,4,553
lay,4,554
giuen,4,555
Those,4,556
present,4,557
ground,4,558
ought,4,559
speak,4,560
bee,4,561
Hearke,4,562
Sold,4,563
stab,4,564
preuent,4,565
Var,4,566
least,4,567
Triumph,4,568
Heare,4,569
Earth,4,570
number,4,571
without,4,572
Ceremonies,4,573
growne,4,574
dreadfull,4,575
Say,4,576
Coward,4,577
fearefull,4,578
See,4,579
Musicke,4,580
almost,4,581
wisely,4,582
monstrous,4,583
Swords,4,584
behold,4,585
temper,4,586
red,4,587
Know,4,588
presently,4,589
heads,4,590
Woman,4,591
newes,4,592
Treb,4,593
Away,4,594
Cob,4,595
winde,4,596
pleasure,4,597
Mutiny,4,598
dare,4,599
goe,4,600
chanc,4,601
head,4,602
Iulius,4,603
free,4,604
halfe,4,605
grace,4,606
Stra,4,607
thine,4,608
doubt,4,609
Fortune,4,610
Ambition,4,611
Age,4,612
lies,4,613
Battaile,4,614
thinkes,4,615
deny,4,616
Their,4,617
feeble,4,618
Gowne,4,619
mee,4,620
King,4,621
yee,4,622
Fare,4,623
weare,4,624
Plebeians,4,625
Should,4,626
Low,4,627
Legions,4,628
endure,4,629
Clocke,4,630
sight,4,631
Cic,4,632
Manet,4,633
does,4,634
spirit,4,635
sad,4,636
Generals,4,637
sake,4,638
Clouds,4,639
goes,4,640
tooke,4,641
Masters,4,642
Pompey,4,643
Had,4,644
State,4,645
giues,4,646
wilt,4,647
point,4,648
constant,4,649
tongue,4,650
borne,4,651
purpose,4,652
gaue,4,653
Would,4,654
beleeue,4,655
Noblest,4,656
Farewell,4,657
foorth,4,658
fellow,4,659
bed,4,660
mindes,4,661
here,4,662
honest,4,663
taken,4,664
lookes,4,665
enterprize,4,666
health,4,667
world,4,668
Vertue,4,669
Flood,4,670
shalt,4,671
signe,4,672
breake,4,673
straight,4,674
Whether,4,675
mouth,3,676
eare,3,677
Doe,3,678
second,3,679
amisse,3,680
Call,3,681
Lady,3,682
hart,3,683
Vnder,3,684
Soules,3,685
Laughter,3,686
Nature,3,687
consent,3,688
though,3,689
Lightning,3,690
sirs,3,691
dwell,3,692
Poore,3,693
Graues,3,694
Wise,3,695
already,3,696
cruell,3,697
Read,3,698
noyse,3,699
Varrus,3,700
touch,3,701
Though,3,702
Honesty,3,703
Lyon,3,704
fast,3,705
Alarums,3,706
harme,3,707
Liberty,3,708
From,3,709
knowes,3,710
braue,3,711
Get,3,712
haste,3,713
turn,3,714
Dardanius,3,715
Dard,3,716
graunt,3,717
Hand,3,718
Dreame,3,719
Traine,3,720
speech,3,721
Stay,3,722
proper,3,723
drop,3,724
ran,3,725
stare,3,726
ready,3,727
businesse,3,728
ordinary,3,729
Popillius,3,730
House,3,731
doest,3,732
fault,3,733
teares,3,734
honourable,3,735
greefes,3,736
reioyce,3,737
Flourish,3,738
Lep,3,739
matters,3,740
trash,3,741
Teare,3,742
late,3,743
strike,3,744
humor,3,745
Valiant,3,746
Hence,3,747
Taper,3,748
Plucke,3,749
Nothing,3,750
Death,3,751
Truly,3,752
Sardis,3,753
deeds,3,754
Cry,3,755
kisse,3,756
Conference,3,757
Mothers,3,758
Battell,3,759
pluckt,3,760
thoughts,3,761
wherefore,3,762
mans,3,763
round,3,764
Images,3,765
Honors,3,766
dying,3,767
Oath,3,768
Soothsayer,3,769
taste,3,770
Run,3,771
thinking,3,772
foote,3,773
fingers,3,774
forme,3,775
led,3,776
receiue,3,777
stood,3,778
sound,3,779
rous,3,780
wife,3,781
huge,3,782
sleep,3,783
holds,3,784
Thinke,3,785
hundred,3,786
Palme,3,787
Iudge,3,788
Windowes,3,789
Freedome,3,790
Yea,3,791
swell,3,792
hot,3,793
About,3,794
opinion,3,795
Thus,3,796
write,3,797
promise,3,798
heauy,3,799
greater,3,800
Reuenge,3,801
Therein,3,802
Hold,3,803
refus,3,804
construe,3,805
neede,3,806
sweet,3,807
happy,3,808
brings,3,809
held,3,810
visit,3,811
commend,3,812
ride,3,813
withall,3,814
Constancie,3,815
sort,3,816
Mother,3,817
Fates,3,818
sodaine,3,819
Enterprize,3,820
permission,3,821
idle,3,822
Quite,3,823
Beare,3,824
Warre,3,825
manner,3,826
Pind,3,827
awe,3,828
depart,3,829
Gentlemen,3,830
People,3,831
patient,3,832
Whose,3,833
Roome,3,834
sway,3,835
truly,3,836
